 0.00  0.00  0.00 -2.00 -0.00  0.00  2.00
 0.16  0.00  0.16 -2.00 -0.00  0.00  2.00
 0.31  0.00  0.31 -1.99 -0.01  0.01  1.99
 0.47  0.00  0.47 -1.97 -0.03  0.03  1.97
 0.63  0.00  0.63 -1.95 -0.05  0.05  1.95
 0.79  0.00  0.79 -1.92 -0.08  0.08  1.92
 0.94  0.00  0.94 -1.89 -0.11  0.11  1.89
 1.10  0.00  1.10 -1.85 -0.15  0.15  1.85
 1.26  0.00  1.26 -1.81 -0.19  0.19  1.81
 1.41  0.00  1.41 -1.76 -0.24  0.24  1.76
 1.57  0.00  1.57 -1.71 -0.29  0.29  1.71
 1.73  0.00  1.73 -1.65 -0.35  0.35  1.65
 1.88  0.00  1.88 -1.59 -0.41  0.41  1.59
 2.04  0.00  2.04 -1.52 -0.48  0.48  1.52
 2.20  0.00  2.20 -1.45 -0.55  0.55  1.45
 2.36  0.00  2.36 -1.38 -0.62  0.62  1.38
 2.51  0.00  2.51 -1.31 -0.69  0.69  1.31
 2.67  0.00  2.67 -1.23 -0.77  0.77  1.23
 2.83  0.00  2.83 -1.16 -0.84  0.84  1.16
 2.98  0.00  2.98 -1.08 -0.92  0.92  1.08
 3.14  0.00  3.14 -1.00 -1.00  1.00  1.00
 3.30  0.00  3.30 -1.08 -0.92  0.92  1.08
 3.30  0.16  3.46 -1.08 -0.92  0.92  1.08
 3.30  0.31  3.61 -1.07 -0.91  0.91  1.07
 3.30  0.47  3.77 -1.05 -0.89  0.89  1.05
 3.30  0.63  3.93 -1.03 -0.87  0.87  1.03
 3.30  0.79  4.08 -1.00 -0.85  0.85  1.00
 3.30  0.94  4.24 -0.97 -0.81  0.81  0.97
 3.30  1.10  4.40 -0.93 -0.77  0.77  0.93
 3.30  1.26  4.56 -0.89 -0.73  0.73  0.89
 3.30  1.41  4.71 -0.84 -0.68  0.68  0.84
 3.30  1.57  4.87 -0.79 -0.63  0.63  0.79
 3.30  1.73  5.03 -0.73 -0.57  0.57  0.73
 3.30  1.88  5.18 -0.67 -0.51  0.51  0.67
 3.30  2.04  5.34 -0.60 -0.44  0.44  0.60
 3.30  2.20  5.50 -0.53 -0.38  0.38  0.53
 3.30  2.36  5.65 -0.46 -0.30  0.30  0.46
 3.30  2.51  5.81 -0.39 -0.23  0.23  0.39
 3.30  2.67  5.97 -0.31 -0.15  0.15  0.31
 3.30  2.83  6.13 -0.23 -0.08  0.08  0.23
 3.30  2.98  6.28 -0.16 -0.00  0.00  0.16
 3.30  3.14  6.44 -0.08 -0.08  0.08  0.08
 3.30  3.30  6.60 -0.16  0.00  0.00  0.16
 3.46  3.46  6.91 -0.31 -0.00  0.00  0.31
 3.61  3.61  7.23 -0.47 -0.00  0.00  0.47
 3.77  3.77  7.54 -0.62 -0.00 -0.00  0.62
 3.93  3.93  7.85 -0.77 -0.00  0.00  0.77
 4.08  4.08  8.17 -0.91 -0.00 -0.00  0.91
 4.24  4.24  8.48 -1.04  0.00  0.00  1.04
 4.40  4.40  8.80 -1.18  0.00  0.00  1.18
 4.56  4.56  9.11 -1.30 -0.00  0.00  1.30
 4.71  4.71  9.42 -1.41 -0.00  0.00  1.41
 4.87  4.87  9.74 -1.52  0.00  0.00  1.52
 5.03  5.03 10.05 -1.62 -0.00  0.00  1.62
 5.18  5.18 10.37 -1.71 -0.00 -0.00  1.71
 5.34  5.34 10.68 -1.78 -0.00  0.00  1.78
 5.50  5.50 11.00 -1.85 -0.00  0.00  1.85
 5.65  5.65 11.31 -1.90 -0.00  0.00  1.90
 5.81  5.81 11.62 -1.94  0.00  0.00  1.94
 5.97  5.97 11.94 -1.98 -0.00  0.00  1.98
 6.13  6.13 12.25 -1.99  0.00  0.00  1.99
