 0.50  0.00  0.50
 0.25  0.50  0.25
 0.25  0.50  0.25
 0.50  0.00  0.50
 0.25  0.49  0.25
 0.25  0.51  0.25
 0.50  0.00  0.50
 0.26  0.47  0.26
 0.24  0.53  0.24
 0.50  0.00  0.50
 0.28  0.44  0.28
 0.22  0.56  0.22
 0.50  0.00  0.50
 0.30  0.40  0.30
 0.20  0.60  0.20
 0.50  0.00  0.50
 0.33  0.33  0.33
 0.17  0.67  0.17
 0.50  0.00  0.50
 0.37  0.26  0.37
 0.13  0.74  0.13
 0.50  0.00  0.50
 0.41  0.17  0.41
 0.09  0.83  0.09
 0.50  0.00  0.50
 0.46  0.09  0.46
 0.04  0.91  0.04
 0.50  0.00  0.50
 0.49  0.02  0.49
 0.01  0.98  0.01
 0.50  0.00  0.50
 0.50  0.00  0.50
 0.00  1.00  0.00
 0.50  0.00  0.50
 0.49  0.02  0.49
 0.01  0.98  0.01
 0.50  0.00  0.50
 0.46  0.09  0.46
 0.04  0.91  0.04
 0.50  0.00  0.50
 0.41  0.17  0.41
 0.09  0.83  0.09
 0.50  0.00  0.50
 0.37  0.26  0.37
 0.13  0.74  0.13
 0.50  0.00  0.50
 0.33  0.33  0.33
 0.17  0.67  0.17
 0.50  0.00  0.50
 0.30  0.40  0.30
 0.20  0.60  0.20
 0.50  0.00  0.50
 0.28  0.44  0.28
 0.22  0.56  0.22
 0.50  0.00  0.50
 0.26  0.47  0.26
 0.24  0.53  0.24
 0.50  0.00  0.50
 0.25  0.49  0.25
 0.25  0.51  0.25
 0.50  0.00  0.50
 0.25  0.51  0.25
 0.25  0.49  0.25
 0.50  0.00  0.50
 0.25  0.50  0.25
 0.25  0.50  0.25
 0.50  0.00  0.50
 0.26  0.48  0.26
 0.24  0.52  0.24
 0.50  0.00  0.50
 0.28  0.45  0.28
 0.22  0.55  0.22
 0.50  0.00  0.50
 0.30  0.40  0.30
 0.20  0.60  0.20
 0.50  0.00  0.50
 0.33  0.34  0.33
 0.17  0.66  0.17
 0.50  0.00  0.50
 0.37  0.26  0.37
 0.13  0.74  0.13
 0.50  0.00  0.50
 0.41  0.17  0.41
 0.09  0.83  0.09
 0.50  0.00  0.50
 0.46  0.09  0.46
 0.04  0.91  0.04
 0.50  0.00  0.50
 0.49  0.02  0.49
 0.01  0.98  0.01
 0.50  0.00  0.50
 0.50  0.00  0.50
 0.00  1.00  0.00
 0.50  0.00  0.50
 0.49  0.02  0.49
 0.01  0.98  0.01
 0.50  0.00  0.50
 0.46  0.09  0.46
